t [s];Tf [degC];P [W]
83160;23,87;9594
83220;23,88;9620
83280;23,89;9645
83340;23,88;9616
83400;23,88;9609
83460;23,88;9600
83520;23,88;9610
83580;23,88;9602
83640;23,88;9587
83700;23,89;9619
83760;23,90;9645
83820;23,90;9651
83880;23,90;9641
83940;23,91;9666
84000;23,91;9662
84060;23,90;9650
84120;23,91;9657
84180;23,90;9629
84240;23,90;9632
84300;23,91;9646
84360;23,91;9645
84420;23,91;9647
84480;23,91;9619
84540;23,90;9601
84600;23,90;9618
84660;23,91;9633
84720;23,91;9617
84780;23,91;9633
84840;23,91;9630
84900;23,92;9650
84960;23,92;9661
85020;23,92;9630
85080;23,92;9631
85140;23,92;9635
85200;23,92;9639
85260;23,93;9644
85320;23,93;9631
85380;23,93;9632
85440;23,93;9644
85500;23,93;9622
85560;23,92;9601
85620;23,92;9597
85680;23,93;9608
85740;23,93;9613
85800;23,93;9609
85860;23,93;9607
85920;23,93;9631
85980;23,93;9617
86040;23,93;9623
86100;23,93;9611
86160;23,94;9622
86220;23,94;9617
86280;23,94;9629
86340;23,94;9630
86400;23,94;9638
86460;23,95;9654
86520;23,95;9634
86580;23,95;9632
86640;23,95;9643
86700;23,96;9654
86760;23,96;9642
86820;23,96;9641
86880;23,96;9650
86940;23,97;9694
87000;23,97;9655
87060;23,97;9649
87120;23,97;9644
87180;23,97;9665
87240;23,97;9640
87300;23,97;9651
87360;23,97;9660
87420;23,98;9661
87480;23,97;9633
87540;23,97;9639
87600;23,97;9633
87660;23,97;9636
87720;23,98;9646
87780;23,98;9658
87840;23,99;9666
87900;23,98;9657
87960;23,98;9649
88020;23,98;9631
88080;23,98;9636
88140;23,98;9637
